[2025-06-28 19:20:12] Usuario: desconhecido | Acao: ATUALIZAR_SWITCH | Detalhes: Switch atualizado: ID=2, Nome=Switch 02, Marca=Cisco, Modelo=Outro | Status: sucesso
[2025-06-28 19:49:50] Usuario: admin | Acao: CRIAR_SWITCH | Detalhes: Switch criado: ID=3, Nome=sw teste, Marca=Cisco, Modelo=Outro | Status: sucesso
[2025-06-28 19:50:08] Usuario: admin | Acao: ATUALIZAR_SWITCH | Detalhes: Switch atualizado: ID=3, Nome=sw teste, Marca=Cisco, Modelo=Nexus 9000 | Status: sucesso
[2025-06-28 19:56:09] Usuario: admin | Acao: EXCLUIR_SWITCH | Detalhes: Switch excluído: ID=3, Nome=sw teste, Marca=Cisco, Modelo=Nexus 9000 (todas as conexões liberadas) | Status: sucesso
[2025-06-28 19:56:29] Usuario: admin | Acao: EXCLUIR_SWITCH | Detalhes: Switch excluído: ID=1, Nome=Switch 01 - Térreo, Marca=Cisco, Modelo=Catalyst 3850 (todas as conexões liberadas) | Status: sucesso
[2025-06-28 20:22:21] Usuario: admin | Acao: CRIAR_SWITCH | Detalhes: Switch criado: ID=1, Nome=Switch 01, Marca=Cisco, Modelo=Outro | Status: sucesso
[2025-06-28 20:28:33] Usuario: admin | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=1, Porta ID=1, Equipamento ID=4 | Status: sucesso
[2025-06-30 07:01:00] Usuario: admin | Acao: CRIAR_SWITCH | Detalhes: Switch criado: ID=2, Nome=switch teste, Marca=Cisco, Modelo=Catalyst 3850 | Status: sucesso
[2025-06-30 07:01:53] Usuario: admin | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=2, Porta ID=2, Equipamento ID=5 | Status: sucesso
[2025-06-30 07:04:53] Usuario: admin | Acao: EXCLUIR_SWITCH | Detalhes: Switch excluído: ID=2, Nome=switch teste, Marca=Cisco, Modelo=Catalyst 3850 (todas as conexões liberadas) | Status: sucesso
[2025-06-30 08:08:16] Usuario: admin | Acao: EXCLUIR_EQUIPAMENTO | Detalhes: Equipamento excluído: ID=1, Nome=Tap, Tipo=Tap, Marca=Logitech, Modelo=Tap Poe | Status: sucesso
[2025-06-30 09:53:16] Usuario: admin | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=3, Nome=Sala Teste 11, Equipamentos desatrelados=0, Equipamentos vinculados=1 | Status: sucesso
[2025-06-30 09:55:21] Usuario: admin | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=1, Nome=Sala 01, Equipamentos desatrelados=0, Equipamentos vinculados=5 | Status: sucesso
[2025-06-30 12:00:47] Usuario: admin | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=1, Nome=Sala 01, Equipamentos desatrelados=0, Equipamentos vinculados=5 | Status: sucesso
[2025-06-30 14:03:16] Usuario: admin | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=3, Nome=Sala Teste 11, Equipamentos desatrelados=0, Equipamentos vinculados=1 | Status: sucesso
[2025-06-30 15:36:16] Usuario: admin | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=13, Nome=Tap, Tipo=Tap, Marca=Logitech, Modelo=Tap Poe | Status: sucesso
[2025-06-30 15:40:35] Usuario: admin | Acao: CRIAR_SALA | Detalhes: Sala criada: ID=4, Nome=Sala 02 (via formulário) | Status: sucesso
[2025-06-30 15:40:56] Usuario: admin | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=4, Nome=Sala 02, Equipamentos desatrelados=0, Equipamentos vinculados=0 | Status: sucesso
[2025-06-30 15:42:12] Usuario: admin | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=14, Nome=Tap, Tipo=Tap, Marca=Logitech, Modelo=Tap Poe | Status: sucesso
[2025-06-30 15:44:09] Usuario: admin | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=15, Nome=Meetup, Tipo=Meetup, Marca=Logitech, Modelo=Meetup | Status: sucesso
[2025-06-30 15:46:41] Usuario: admin | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=16, Nome=TV, Tipo=TV, Marca=LG, Modelo=55UP751C0SF | Status: sucesso
[2025-06-30 15:48:48] Usuario: admin | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=17, Nome=Painel Agenda, Tipo=Painel, Marca=Crestron, Modelo=TSW-770-B-S | Status: sucesso
[2025-06-30 15:49:45] Usuario: admin | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=18, Nome=Sensor de presença, Tipo=Sensor, Marca=Crestron, Modelo=CEN-ODT-C-POE | Status: sucesso
[2025-06-30 15:51:19] Usuario: admin | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=19, Nome=Chromebox, Tipo=PC, Marca=CTL, Modelo=Outro | Status: sucesso
[2025-06-30 15:53:14] Usuario: admin | Acao: EXCLUIR_SALA | Detalhes: Sala excluída: ID=3, Nome=Sala Teste 11 | Status: sucesso
[2025-06-30 15:53:21] Usuario: admin | Acao: EXCLUIR_EQUIPAMENTO | Detalhes: Equipamento excluído: ID=12, Nome=teste, Tipo=TV, Marca=LG, Modelo=32LM621CBSB | Status: sucesso
[2025-06-30 15:54:15] Usuario: admin | Acao: ATUALIZAR_SWITCH | Detalhes: Switch atualizado: ID=1, Nome=Switch 01 - Térreo, Marca=Cisco, Modelo=Outro | Status: sucesso
[2025-06-30 15:56:01] Usuario: admin | Acao: CRIAR_SWITCH | Detalhes: Switch criado: ID=3, Nome=Switch 02 - Térreo, Marca=Cisco, Modelo=Outro | Status: sucesso
[2025-06-30 15:56:13] Usuario: admin | Acao: CRIAR_SWITCH | Detalhes: Switch criado: ID=4, Nome=Switch 03 - Térreo, Marca=Cisco, Modelo=Outro | Status: sucesso
[2025-06-30 15:56:48] Usuario: admin | Acao: REMOVER_CONEXAO | Detalhes: Conexão removida: ID=1, Porta ID=1, Equipamento ID=4 | Status: sucesso
[2025-06-30 15:58:21] Usuario: admin | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=3, Porta ID=3, Equipamento ID=7 | Status: sucesso
[2025-06-30 15:58:37] Usuario: admin | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=4, Porta ID=4, Equipamento ID=5 | Status: sucesso
[2025-06-30 15:59:02] Usuario: admin | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=5, Porta ID=5, Equipamento ID=4 | Status: sucesso
[2025-06-30 16:00:42] Usuario: admin | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=6, Porta ID=6, Equipamento ID=19 | Status: sucesso
[2025-06-30 16:00:51] Usuario: admin | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=7, Porta ID=7, Equipamento ID=17 | Status: sucesso
[2025-06-30 16:00:56] Usuario: admin | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=8, Porta ID=8, Equipamento ID=18 | Status: sucesso
[2025-06-30 16:02:50] Usuario: admin | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=20, Nome=Tap, Tipo=Tap, Marca=Logitech, Modelo=Tap Poe | Status: sucesso
[2025-06-30 16:03:12] Usuario: admin | Acao: CRIAR_SALA | Detalhes: Sala criada: ID=5, Nome=Sala 03 (via formulário) | Status: sucesso
[2025-06-30 16:03:41] Usuario: admin | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=5, Nome=Sala 03, Equipamentos desatrelados=0, Equipamentos vinculados=1 | Status: sucesso
[2025-06-30 16:06:02] Usuario: admin | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=5, Nome=Sala 03, Equipamentos desatrelados=0, Equipamentos vinculados=1 | Status: sucesso
[2025-06-30 16:08:14] Usuario: admin | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=21, Nome=Câmera, Tipo=Camera, Marca=Logitech, Modelo=Rally | Status: sucesso
[2025-06-30 16:08:54] Usuario: admin | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=22, Nome=Microfone, Tipo=Microfone, Marca=Logitech, Modelo=Rally Mic Pod | Status: sucesso
[2025-06-30 16:10:35] Usuario: admin | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=23, Nome=Speaker, Tipo=Speaker, Marca=Logitech, Modelo=Rally | Status: sucesso
[2025-06-30 16:11:35] Usuario: admin | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=24, Nome=TV, Tipo=TV, Marca=LG, Modelo=75UP801C0SB | Status: sucesso
[2025-06-30 16:15:43] Usuario: admin | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=25, Nome=Painel Agenda, Tipo=Painel, Marca=Crestron, Modelo=TSW-770-W-S | Status: sucesso
[2025-06-30 16:16:47] Usuario: admin | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=26, Nome=Sensor de presença, Tipo=Sensor, Marca=Crestron, Modelo=CEN-ODT-C-POE | Status: sucesso
[2025-06-30 16:17:44] Usuario: admin | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=27, Nome=Chromebox, Tipo=PC, Marca=CTL, Modelo=Outro | Status: sucesso
[2025-06-30 16:18:25] Usuario: admin | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=28, Nome=Display Hub, Tipo=Hub, Marca=Logitech, Modelo=Display | Status: sucesso
[2025-06-30 16:19:02] Usuario: admin | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=29, Nome=Table Hub, Tipo=Hub, Marca=Logitech, Modelo=Table | Status: sucesso
[2025-06-30 16:24:32] Usuario: admin | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=9, Porta ID=9, Equipamento ID=27 | Status: sucesso
[2025-06-30 16:24:44] Usuario: admin | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=10, Porta ID=10, Equipamento ID=26 | Status: sucesso
[2025-06-30 16:24:50] Usuario: admin | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=11, Porta ID=11, Equipamento ID=25 | Status: sucesso
[2025-06-30 16:38:42] Usuario: admin | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=4, Nome=Painel Agenda, Tipo=Painel, Marca=Crestron, Modelo=TSW-770-B-S | Status: sucesso
[2025-06-30 16:39:14] Usuario: admin | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=13, Nome=Tap, Tipo=Tap, Marca=Logitech, Modelo=Tap Poe | Status: sucesso
[2025-06-30 16:39:25] Usuario: admin | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=14, Nome=Tap, Tipo=Tap, Marca=Logitech, Modelo=Tap Poe | Status: sucesso
[2025-06-30 16:39:33] Usuario: admin | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=20, Nome=Tap, Tipo=Tap, Marca=Logitech, Modelo=Tap Poe | Status: sucesso
[2025-06-30 16:40:16] Usuario: admin | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=3, Nome=TV, Tipo=TV, Marca=LG, Modelo=50UP751C0SF | Status: sucesso
[2025-07-01 11:20:48] Usuario: admin_wh | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=1, Nome=Sala 01, Equipamentos desatrelados=0, Equipamentos vinculados=6 | Status: sucesso
[2025-07-01 11:21:10] Usuario: admin_wh | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=1, Nome=Sala 01, Equipamentos desatrelados=0, Equipamentos vinculados=6 | Status: sucesso
[2025-07-01 11:53:52] Usuario: admin_wh | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=1, Nome=Sala 01, Equipamentos desatrelados=0, Equipamentos vinculados=6 | Status: sucesso
[2025-07-01 12:20:27] Usuario: admin_wh | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=4, Nome=Sala 02, Equipamentos desatrelados=0, Equipamentos vinculados=6 | Status: sucesso
[2025-07-01 12:20:44] Usuario: admin_wh | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=5, Nome=Sala 03, Equipamentos desatrelados=0, Equipamentos vinculados=10 | Status: sucesso
[2025-07-01 14:43:50] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=30, Nome=Table Hub, Tipo=Hub, Marca=Logitech, Modelo=Table | Status: sucesso
[2025-07-01 14:45:37] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=30, Nome=Table Hub, Tipo=Hub, Marca=Logitech, Modelo=Table | Status: sucesso
[2025-07-01 15:45:49] Usuario: admin_wh | Acao: CRIAR_SALA | Detalhes: Sala criada: ID=6, Nome=Sala 04 (via formulário) | Status: sucesso
[2025-07-01 15:46:25] Usuario: admin_wh | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=6, Nome=Sala 04, Equipamentos desatrelados=0, Equipamentos vinculados=0 | Status: sucesso
[2025-07-01 15:51:00] Usuario: admin_wh | Acao: CRIAR_SALA | Detalhes: Sala criada: ID=7, Nome=Sala 05 (via formulário) | Status: sucesso
[2025-07-01 15:52:29] Usuario: admin_wh | Acao: CRIAR_SALA | Detalhes: Sala criada: ID=8, Nome=Sala 06 (via formulário) | Status: sucesso
[2025-07-01 15:54:59] Usuario: admin_wh | Acao: CRIAR_SALA | Detalhes: Sala criada: ID=9, Nome=Sala 07 (via formulário) | Status: sucesso
[2025-07-01 15:55:19] Usuario: admin_wh | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=7, Nome=Sala 05, Equipamentos desatrelados=0, Equipamentos vinculados=0 | Status: sucesso
[2025-07-01 15:55:28] Usuario: admin_wh | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=8, Nome=Sala 06, Equipamentos desatrelados=0, Equipamentos vinculados=0 | Status: sucesso
[2025-07-03 15:44:44] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=4 | Status: sucesso
[2025-07-04 11:20:27] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=9 | Status: sucesso
[2025-07-04 11:39:47] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=9 | Status: sucesso
[2025-07-10 11:52:07] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=31, Nome=Tap, Tipo=Tap, Marca=Logitech, Modelo=Tap Poe | Status: sucesso
[2025-07-10 11:52:53] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=31, Nome=Tap, Tipo=Tap, Marca=Logitech, Modelo=Tap Poe | Status: sucesso
[2025-07-10 12:00:17] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=32, Nome=Câmera, Tipo=Camera, Marca=Logitech, Modelo=Rally | Status: sucesso
[2025-07-10 12:05:18] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=33, Nome=Microfone, Tipo=Microfone, Marca=Logitech, Modelo=Rally Mic Pod | Status: sucesso
[2025-07-10 12:06:29] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=34, Nome=Speaker, Tipo=Speaker, Marca=Logitech, Modelo=Rally | Status: sucesso
[2025-07-10 12:08:29] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=35, Nome=TV, Tipo=TV, Marca=LG, Modelo=75UP801C0SB | Status: sucesso
[2025-07-10 12:11:18] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=36, Nome=Painel Agenda, Tipo=Painel, Marca=Crestron, Modelo=TSW-770-W-S | Status: sucesso
[2025-07-10 12:14:21] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=36, Nome=Painel Agenda, Tipo=Painel, Marca=Crestron, Modelo=TSW-770-B-S | Status: sucesso
[2025-07-10 12:16:03] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=37, Nome=Sensor de presença, Tipo=Sensor, Marca=Crestron, Modelo=CEN-ODT-C-POE | Status: sucesso
[2025-07-10 12:17:00] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=38, Nome=Chromebox, Tipo=PC, Marca=CTL, Modelo=CTL-1000 | Status: sucesso
[2025-07-10 12:18:02] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=39, Nome=Display Hub, Tipo=Hub, Marca=Logitech, Modelo=Display | Status: sucesso
[2025-07-10 12:18:39] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=40, Nome=Table Hub, Tipo=Hub, Marca=Logitech, Modelo=Table | Status: sucesso
[2025-07-10 12:22:20] Usuario: admin_wh | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=12, Porta ID=36, Equipamento ID=38 | Status: sucesso
[2025-07-10 12:22:30] Usuario: admin_wh | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=13, Porta ID=37, Equipamento ID=37 | Status: sucesso
[2025-07-10 12:22:39] Usuario: admin_wh | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=14, Porta ID=38, Equipamento ID=36 | Status: sucesso
[2025-07-10 12:27:58] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=41, Nome=Tap, Tipo=Tap, Marca=Logitech, Modelo=Tap Poe | Status: sucesso
[2025-07-10 12:37:09] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=42, Nome=Câmera, Tipo=Camera, Marca=Logitech, Modelo=Rally | Status: sucesso
[2025-07-10 12:37:57] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=43, Nome=Microfone, Tipo=Microfone, Marca=Logitech, Modelo=Rally Mic Pod | Status: sucesso
[2025-07-10 12:38:34] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=44, Nome=Speaker, Tipo=Speaker, Marca=Logitech, Modelo=Rally | Status: sucesso
[2025-07-10 12:39:25] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=45, Nome=TV, Tipo=TV, Marca=LG, Modelo=75UN801C0SB | Status: sucesso
[2025-07-10 12:40:18] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=46, Nome=Painel Agenda, Tipo=Painel, Marca=Crestron, Modelo=TSW-770-B-S | Status: sucesso
[2025-07-10 12:41:06] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=47, Nome=Sensor de presença, Tipo=Sensor, Marca=Crestron, Modelo=CEN-ODT-C-POE | Status: sucesso
[2025-07-10 12:42:06] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=48, Nome=Chromebox, Tipo=PC, Marca=CTL, Modelo=CTL-1000 | Status: sucesso
[2025-07-10 12:43:04] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=49, Nome=Display Hub, Tipo=Hub, Marca=Logitech, Modelo=Display | Status: sucesso
[2025-07-10 12:43:43] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=50, Nome=Table Hub, Tipo=Hub, Marca=Logitech, Modelo=Table | Status: sucesso
[2025-07-10 12:44:59] Usuario: admin_wh | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=15, Porta ID=33, Equipamento ID=48 | Status: sucesso
[2025-07-10 12:45:09] Usuario: admin_wh | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=16, Porta ID=34, Equipamento ID=47 | Status: sucesso
[2025-07-10 12:45:17] Usuario: admin_wh | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=17, Porta ID=35, Equipamento ID=46 | Status: sucesso
[2025-07-10 14:41:46] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=51, Nome=Tap, Tipo=Tap, Marca=Logitech, Modelo=Tap Poe | Status: sucesso
[2025-07-10 14:42:14] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=52, Nome=Meetup, Tipo=Meetup, Marca=Logitech, Modelo=Meetup | Status: sucesso
[2025-07-10 14:43:24] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=53, Nome=TV, Tipo=TV, Marca=LG, Modelo=55UP751C0SF | Status: sucesso
[2025-07-10 14:44:20] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=54, Nome=Painel Agenda, Tipo=Painel, Marca=Crestron, Modelo=TSW-770-B-S | Status: sucesso
[2025-07-10 14:45:08] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=55, Nome=Sensor de presença, Tipo=Sensor, Marca=Crestron, Modelo=CEN-ODT-C-POE | Status: sucesso
[2025-07-10 14:45:56] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=56, Nome=Chromebox, Tipo=PC, Marca=CTL, Modelo=CTL-1000 | Status: sucesso
[2025-07-10 14:46:28] Usuario: admin_wh | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=18, Porta ID=45, Equipamento ID=56 | Status: sucesso
[2025-07-10 14:46:37] Usuario: admin_wh | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=19, Porta ID=46, Equipamento ID=55 | Status: sucesso
[2025-07-10 14:46:49] Usuario: admin_wh | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=20, Porta ID=47, Equipamento ID=54 | Status: sucesso
[2025-07-10 14:48:47] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=57, Nome=Tap, Tipo=Tap, Marca=Logitech, Modelo=Tap Poe | Status: sucesso
[2025-07-10 14:49:26] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=58, Nome=Meetup, Tipo=Meetup, Marca=Logitech, Modelo=Meetup | Status: sucesso
[2025-07-10 14:50:10] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=59, Nome=TV, Tipo=TV, Marca=LG, Modelo=55UP751C0SF | Status: sucesso
[2025-07-10 14:51:04] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=60, Nome=Painel Agenda, Tipo=Painel, Marca=Crestron, Modelo=TSW-770-B-S | Status: sucesso
[2025-07-10 14:51:49] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=61, Nome=Sensor de presença, Tipo=Sensor, Marca=Crestron, Modelo=CEN-ODT-C-POE | Status: sucesso
[2025-07-10 14:52:36] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=62, Nome=Chromebox, Tipo=PC, Marca=CTL, Modelo=CTL-1000 | Status: sucesso
[2025-07-10 14:53:27] Usuario: admin_wh | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=21, Porta ID=42, Equipamento ID=62 | Status: sucesso
[2025-07-10 14:53:37] Usuario: admin_wh | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=22, Porta ID=43, Equipamento ID=61 | Status: sucesso
[2025-07-10 14:53:46] Usuario: admin_wh | Acao: CRIAR_CONEXAO | Detalhes: Conexão criada: ID=23, Porta ID=44, Equipamento ID=60 | Status: sucesso
[2025-07-10 14:55:23] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=63, Nome=TV, Tipo=TV, Marca=LG, Modelo=32LM621CBSB | Status: sucesso
[2025-07-10 14:55:50] Usuario: admin_wh | Acao: CRIAR_SALA | Detalhes: Sala criada: ID=10, Nome=Sala 08 (via formulário) | Status: sucesso
[2025-07-10 14:56:51] Usuario: admin_wh | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=10, Nome=Sala 08, Equipamentos desatrelados=0, Equipamentos vinculados=1 | Status: sucesso
[2025-07-10 14:58:20] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=64, Nome=TV, Tipo=TV, Marca=LG, Modelo=32LM621CBSB | Status: sucesso
[2025-07-10 14:58:39] Usuario: admin_wh | Acao: CRIAR_SALA | Detalhes: Sala criada: ID=11, Nome=Sala 09 (via formulário) | Status: sucesso
[2025-07-10 14:58:52] Usuario: admin_wh | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=11, Nome=Sala 09, Equipamentos desatrelados=0, Equipamentos vinculados=1 | Status: sucesso
[2025-07-10 14:59:53] Usuario: admin_wh | Acao: CRIAR_SALA | Detalhes: Sala criada: ID=12, Nome=Sala 10 (via formulário) | Status: sucesso
